Sample,Response Base,File Name,Sample Type,Weight_mg,Nitrogen area_mV.s,Nitrogen_mg,Nitrogen_%,Carbon area_mV.s,Carbon_mg,Carbon_%,Nitrogen_Carbon,Nitrogen area_%,Carbon  area_%,Comments,Flag
P0760_F11,Area,Jones_JS_POC_run10_031615_018.prm,Unknown,0,76.8762,0.0268,10.3377,1581.3555,0.2321,89.6623,0.0486,0.046360349,0.953639651,unsure about the sample ID ,1
P0761_F12,Area,Jones_JS_POC_run10_031615_019.prm,Unknown,0,127.8281,0.0469,10.728,2592.7145,0.3905,89.272,0.0493,0.046986252,0.953013748,unsure about the sample ID ,1
P0764_G2,Area,Jones_JS_POC_run10_031615_020.prm,Unknown,0,38.8803,0.0117,9.7785,789.9597,0.1082,90.2215,0.0492,0.046909295,0.953090705,unsure about the sample ID ,1
P0705_G3,Area,Jones_JS_POC_run10_031615_021.prm,ByPass,0,0,0,0,0,0,0,???,0,0,ran as bypass,1
P0704_G8,Area,Jones_JS_POC_run10_031615_022.prm,Unknown,0,29.2599,0.0079,6.9968,771.1287,0.1052,93.0032,0.0379,0.036557117,0.963442883,,0
P0714_G9,Area,Jones_JS_POC_run10_031615_023.prm,Unknown,0,33.4961,0.0096,7.4872,856.0913,0.1185,92.5128,0.0391,0.037653523,0.962346477,,0
P0718_G10,Area,Jones_JS_POC_run10_031615_024.prm,Unknown,0,50.3471,0.0163,9.809,1054.0252,0.1495,90.191,0.0478,0.045588883,0.954411117,,0
control_H4_white,Area,Jones_JS_POC_run10_031615_025.prm,Unknown,1.325,357.4762,0.1378,10.4013,6248.6582,0.9631,72.6842,0.0572,0.054112765,0.945887235,,0
P0717_G11,Area,Jones_JS_POC_run10_031615_026.prm,Unknown,0,55.577,0.0183,10.4511,1102.2362,0.1571,89.5489,0.0504,0.048001698,0.951998302,,0
P0716_G12,Area,Jones_JS_POC_run10_031615_027.prm,Unknown,0,37.241,0.0111,7.1177,1022.0505,0.1445,92.8823,0.0364,0.035156517,0.964843483,,0
P0715_H1,Area,Jones_JS_POC_run10_031615_028.prm,Unknown,0,54.7116,0.018,10.3684,1092.2579,0.1555,89.6316,0.0501,0.047701007,0.952298993,,0
P0816_A2,Area,Jones_JS_POC_run10_031615_029.prm,Unknown,0,60.8196,0.0204,9.0286,1412.169,0.2056,90.9714,0.0431,0.041289933,0.958710067,,0
P0817_A3,Area,Jones_JS_POC_run10_031615_030.prm,Unknown,0,87.1286,0.0308,12.3056,1501.6677,0.2196,87.6944,0.058,0.054839377,0.945160623,,0
P0828_A9,Area,Jones_JS_POC_run10_031615_031.prm,Unknown,0,25.001,0.0062,5.3379,804.7493,0.1105,94.6621,0.0311,0.030130751,0.969869249,,0
P0830_A10,Area,Jones_JS_POC_run10_031615_032.prm,Unknown,0,60.1218,0.0201,8.7039,1447.5091,0.2111,91.2961,0.0415,0.039878328,0.960121672,,0
P0831_A11,Area,Jones_JS_POC_run10_031615_033.prm,Unknown,0,61.707,0.0208,7.0742,1840.3203,0.2727,92.9258,0.0335,0.032442752,0.967557248,,0
P0832_A12,Area,Jones_JS_POC_run10_031615_034.prm,Unknown,0,48.1756,0.0154,7.0176,1402.3635,0.2041,92.9824,0.0344,0.033212204,0.966787796,,0
P0833_B1,Area,Jones_JS_POC_run10_031615_035.prm,Unknown,0,61.9696,0.0209,11.0716,1169.2257,0.1676,88.9284,0.053,0.050332876,0.949667124,,0
P0834_B2,Area,Jones_JS_POC_run10_031615_036.prm,Unknown,0,70.2212,0.0241,12.0826,1220.2857,0.1756,87.9174,0.0575,0.054413657,0.945586343,,0
P0835_B3,Area,Jones_JS_POC_run10_031615_037.prm,Unknown,0,82.6058,0.029,13.0438,1334.9779,0.1935,86.9562,0.0619,0.058272256,0.941727744,,0
control_H5_white,Area,Jones_JS_POC_run10_031615_038.prm,Unknown,1.068,290.4459,0.1113,10.4202,5100.9291,0.7833,73.3442,0.0569,0.053872324,0.946127676,,0
P0836_B4,Area,Jones_JS_POC_run10_031615_039.prm,Unknown,0,53.0519,0.0173,6.3084,1742.9101,0.2574,93.6916,0.0304,0.029539545,0.970460455,filter coming out of foil ,0
P0786_B8,Area,Jones_JS_POC_run10_031615_040.prm,Unknown,0,60.2765,0.0202,9.6862,1301.4112,0.1883,90.3138,0.0463,0.044266024,0.955733976,,0
P0785_B9,Area,Jones_JS_POC_run10_031615_041.prm,Unknown,0,194.5429,0.0733,15.855,2584.3019,0.3892,84.145,0.0753,0.070008552,0.929991448,,0
P0777_B10,Area,Jones_JS_POC_run10_031615_042.prm,Unknown,0,37.022,0.011,8.7924,827.0886,0.114,91.2076,0.0448,0.042844053,0.957155947,,0
P0776_B11,Area,Jones_JS_POC_run10_031615_043.prm,Unknown,0,52.6655,0.0172,11.8933,911.9225,0.1273,88.1067,0.0578,0.054598958,0.945401042,,0
P0774_B12,Area,Jones_JS_POC_run10_031615_044.prm,Unknown,0,51.0629,0.0165,9.8564,1065.4755,0.1513,90.1436,0.0479,0.045733223,0.954266777,,0
P0773_C1,Area,Jones_JS_POC_run10_031615_045.prm,Unknown,0,58.1709,0.0194,8.5879,1414.9826,0.206,91.4121,0.0411,0.039487331,0.960512669,filter coming out of foil ,0
P0765_C4,Area,Jones_JS_POC_run10_031615_046.prm,Unknown,0,67.7959,0.0232,9.27,1547.1461,0.2267,90.73,0.0438,0.041980393,0.958019607,,0
P0893_A1,Area,Jones_JS_POC_run10_031615_047.prm,Unknown,0,32.0721,0.009,6.2887,958.3614,0.1345,93.7113,0.0335,0.032381881,0.967618119,,0
P0970_A2,Area,Jones_JS_POC_run10_031615_048.prm,Unknown,0,40.3458,0.0123,12.8842,630.4827,0.0832,87.1158,0.064,0.060143241,0.939856759,,0
control_H7_white,Area,Jones_JS_POC_run10_031615_049.prm,Unknown,1.55,411.5131,0.1592,10.2712,7276.9413,1.1241,72.5231,0.0566,0.053523514,0.946476486,,0
P0971_A3,Area,Jones_JS_POC_run10_031615_050.prm,Unknown,0,34.7731,0.0101,12.2556,560.9293,0.0723,87.7444,0.062,0.058373275,0.941626725,,0
P0972_A4,Area,Jones_JS_POC_run10_031615_051.prm,Unknown,0,58.8615,0.0196,10.4765,1170.4407,0.1677,89.5235,0.0503,0.047882042,0.952117958,,0
P0978_A10,Area,Jones_JS_POC_run10_031615_052.prm,Unknown,0,33.4942,0.0096,10.6158,614.9784,0.0808,89.3842,0.0545,0.05165091,0.94834909,,0
P0979_A11,Area,Jones_JS_POC_run10_031615_053.prm,Unknown,0,53.1732,0.0174,11.0548,992.1931,0.1398,88.9452,0.0536,0.050865615,0.949134385,,0
