Sample,Response Base,File Name,Sample Type,Weight_mg,Nitrogen area_mV.s,Nitrogen_mg,Nitrogen_%,Carbon area_mV.s,Carbon_mg,Carbon_%,Nitrogen_Carbon,Nitrogen area_%,Carbon area_%,Comments,Flag
P1146_G10,Area,Jones_JS_POC_run14_040715_022.prm,Unknown,0,61.1448,0.0215,12.9059,1040.5079,0.145,87.0941,0.0588,0.055502791,0.944497209,,0
P1147_G11,Area,Jones_JS_POC_run14_040715_023.prm,Unknown,0,47.6881,0.0164,15.8289,660.444,0.0872,84.1711,0.0722,0.067343508,0.932656492,,0
P1148_G12,Area,Jones_JS_POC_run14_040715_024.prm,Unknown,0,21.7366,0.0066,19.2968,268.2284,0.0276,80.7032,0.081,0.07496284,0.92503716,,0
control_H2_blue,Area,Jones_JS_POC_run14_040715_025.prm,Unknown,1.31,352.5827,0.1316,10.0439,6251.6928,0.9372,71.5419,0.0564,0.053387037,0.946612963,,0
P1149_H1,Area,Jones_JS_POC_run14_040715_026.prm,Unknown,0,28.9955,0.0093,12.7001,509.1293,0.0642,87.2999,0.057,0.053882482,0.946117518,,0
P1150_H2,Area,Jones_JS_POC_run14_040715_027.prm,Unknown,0,32.5196,0.0107,13.4518,538.4226,0.0687,86.5482,0.0604,0.05695778,0.94304222,,0
P1151_H3,Area,Jones_JS_POC_run14_040715_028.prm,Unknown,0,49.9761,0.0173,12.8489,857.1343,0.1171,87.1511,0.0583,0.055093735,0.944906265,,0
P1152_H4,Area,Jones_JS_POC_run14_040715_029.prm,Unknown,0,41.028,0.0139,9.941,914.3295,0.1258,90.059,0.0449,0.04294518,0.95705482,,0
P1153_H5,Area,Jones_JS_POC_run14_040715_030.prm,Unknown,0,42.4621,0.0144,14.1715,661.535,0.0874,85.8285,0.0642,0.060315731,0.939684269,,0
P1154_H6,Area,Jones_JS_POC_run14_040715_031.prm,Unknown,0,52.1464,0.0181,17.1699,660.6375,0.0873,82.8301,0.0789,0.073158779,0.926841221,,0
P1155_H7,Area,Jones_JS_POC_run14_040715_032.prm,Unknown,0,34.06,0.0113,19.8884,384.8782,0.0453,80.1116,0.0885,0.081300774,0.918699226,,0
P1156_H8,Area,Jones_JS_POC_run14_040715_033.prm,Unknown,0,46.9718,0.0161,15.0979,683.4443,0.0907,84.9021,0.0687,0.064308276,0.935691724,,0
P1157_H9,Area,Jones_JS_POC_run14_040715_034.prm,Unknown,0,57.0016,0.0199,17.0027,726.3455,0.0973,82.9973,0.0785,0.072766721,0.927233279,,0
P1158_H10,Area,Jones_JS_POC_run14_040715_035.prm,Unknown,0,43.8724,0.015,16.7977,574.1584,0.0741,83.2023,0.0764,0.070987401,0.929012599,,0
P1159_H11,Area,Jones_JS_POC_run14_040715_036.prm,Unknown,0,83.7142,0.03,16.1383,1112.5528,0.156,83.8617,0.0752,0.069979528,0.930020472,,0
P1160_H12,Area,Jones_JS_POC_run14_040715_037.prm,Unknown,0,30.5898,0.0099,16.2876,422.8804,0.0511,83.7124,0.0723,0.067457134,0.932542866,,0
control_E2_red,Area,Jones_JS_POC_run14_040715_038.prm,Unknown,1.03,282.9909,0.1053,10.2221,4962.6799,0.7412,71.9658,0.057,0.053947514,0.946052486,,0
P1161_A1,Area,Jones_JS_POC_run14_040715_039.prm,Unknown,0,40.2787,0.0136,13.593,655.556,0.0865,86.407,0.0614,0.057885443,0.942114557,,0
P1162_A2,Area,Jones_JS_POC_run14_040715_040.prm,Unknown,0,49.449,0.0171,13.5635,802.1992,0.1088,86.4365,0.0616,0.058062707,0.941937293,,0
P1163_A3,Area,Jones_JS_POC_run14_040715_041.prm,Unknown,0,42.9573,0.0146,13.9881,677.8855,0.0899,86.0119,0.0634,0.05959316,0.94040684,,0
P1170_A10,Area,Jones_JS_POC_run14_040715_042.prm,Unknown,0,30.201,0.0098,11.9708,560.642,0.0721,88.0292,0.0539,0.051115102,0.948884898,,0
P1171_A11,Area,Jones_JS_POC_run14_040715_043.prm,Unknown,0,49.4297,0.0171,13.8716,783.5133,0.1059,86.1284,0.0631,0.059343436,0.940656564,,0
P1172_A12,Area,Jones_JS_POC_run14_040715_044.prm,Unknown,0,27.3633,0.0087,11.8695,512.8837,0.0648,88.1305,0.0534,0.05064961,0.94935039,,0
P1173_B1,Area,Jones_JS_POC_run14_040715_045.prm,Unknown,0,50.458,0.0175,12.867,863.9939,0.1182,87.133,0.0584,0.055178408,0.944821592,,0
P1174_B2,Area,Jones_JS_POC_run14_040715_046.prm,Unknown,0,26.0029,0.0082,12.8948,451.5886,0.0555,87.1052,0.0576,0.054445902,0.945554098,,0
P1175_B3,Area,Jones_JS_POC_run14_040715_047.prm,Unknown,0,36.4443,0.0122,11.9382,676.5506,0.0897,88.0618,0.0539,0.051114391,0.948885609,,0
P1176_B4,Area,Jones_JS_POC_run14_040715_048.prm,Unknown,0,37.3222,0.0125,12.2071,677.4824,0.0898,87.7929,0.0551,0.05221315,0.94778685,,0
P1177_B5,Area,Jones_JS_POC_run14_040715_049.prm,Unknown,0,31.4319,0.0103,13.3204,525.9857,0.0668,86.6796,0.0598,0.056388424,0.943611576,,0
P1178_B6,Area,Jones_JS_POC_run14_040715_050.prm,Unknown,0,23.6094,0.0073,13.1014,405.533,0.0485,86.8986,0.0582,0.055015305,0.944984695,,0
control_D3_red,Area,Jones_JS_POC_run14_040715_051.prm,Unknown,0.851,235.1272,0.0872,10.2477,4161.2165,0.6194,72.7863,0.0565,0.053482443,0.946517557,,0
P1179_B7,Area,Jones_JS_POC_run14_040715_052.prm,Unknown,0,27.5068,0.0088,14.1006,438.5194,0.0535,85.8994,0.0627,0.059024149,0.940975851,,0
P1180_B8,Area,Jones_JS_POC_run14_040715_053.prm,Unknown,0,36.8565,0.0123,10.2325,797.215,0.108,89.7675,0.0462,0.044188658,0.955811342,,0
P1181_B9,Area,Jones_JS_POC_run14_040715_054.prm,Unknown,0,52.8638,0.0184,13.9054,834.3806,0.1137,86.0946,0.0634,0.059582005,0.940417995,,0
P1182_B10,Area,Jones_JS_POC_run14_040715_055.prm,Unknown,0,43.4065,0.0148,12.1779,788.1243,0.1066,87.8221,0.0551,0.052200712,0.947799288,,0
P1183_B11,Area,Jones_JS_POC_run14_040715_056.prm,Unknown,0,97.2838,0.0351,12.6267,1686.1234,0.2432,87.3733,0.0577,0.054549404,0.945450596,,0
P1184_B12,Area,Jones_JS_POC_run14_040715_057.prm,Unknown,0,55.13,0.0192,13.486,897.5184,0.1233,86.514,0.0614,0.057870249,0.942129751,,0
